xdac,yWE
0.009765625,0
0.01953125,0
0.029296875,0
0.0390625,0
0.048828125,0
0.05859375,0
0.068359375,0
0.078125,0
0.087890625,0
0.09765625,0
0.107421875,0
0.1171875,0
0.126953125,0.0048828125
0.13671875,0
0.146484375,0.0244140625
0.15625,0.05859375
0.166015625,0.1025390625
0.17578125,0.1171875
0.185546875,0.0341796875
0.1953125,0
0.205078125,0.1123046875
0.21484375,0.1220703125
0.224609375,0.1123046875
0.234375,0.1025390625
0.244140625,0.1025390625
0.25390625,0.1513671875
0.263671875,0.146484375
0.2734375,0.25390625
0.283203125,0.29296875
0.29296875,0.2490234375
0.302734375,0.2490234375
0.3125,0.2392578125
0.322265625,0.2197265625
0.33203125,0.29296875
0.341796875,0.1806640625
0.3515625,0.2978515625
0.361328125,0.3662109375
0.37109375,0.3271484375
0.380859375,0.2880859375
0.390625,0.439453125
0.400390625,0.400390625
0.41015625,0.322265625
0.419921875,0.380859375
0.4296875,0.33203125
0.439453125,0.3466796875
0.44921875,0.37109375
0.458984375,0.4345703125
0.46875,0.4052734375
0.478515625,0.56640625
0.48828125,0.48828125
0.498046875,0.4248046875
0.5078125,0.5029296875
0.517578125,0.673828125
0.52734375,0.546875
0.537109375,0.634765625
0.546875,0.7958984375
0.556640625,0.6982421875
0.56640625,0.7080078125
0.576171875,0.64453125
0.5859375,0.693359375
0.595703125,0.8056640625
0.60546875,0.791015625
0.615234375,0.7861328125
0.625,0.80078125
0.634765625,0.8056640625
0.64453125,0.8154296875
0.654296875,0.712890625
0.6640625,0.87890625
0.673828125,0.8935546875
0.68359375,0.947265625
0.693359375,0.9228515625
0.703125,0.95703125
0.712890625,1.0400390625
0.72265625,0.9814453125
0.732421875,1.0986328125
0.7421875,1.142578125
0.751953125,1.07421875
0.76171875,1.1083984375
0.771484375,1.0888671875
0.78125,1.162109375
0.80078125,1.103515625
0.810546875,1.15234375
0.83984375,1.181640625
0.849609375,1.2841796875
0.87890625,1.298828125
0.888671875,1.3671875
0.91796875,1.4697265625
0.927734375,1.4453125
0.95703125,1.5087890625
0.966796875,1.533203125
0.99609375,1.5283203125
1.005859375,1.58203125
1.03515625,1.7236328125
1.044921875,1.7138671875
1.07421875,1.806640625
1.083984375,1.7626953125
1.11328125,1.884765625
