xdac,yWE
0.009765625,0
0.01953125,0
0.029296875,0
0.0390625,0
0.048828125,0
0.05859375,0
0.068359375,0.01953125
0.078125,0.0439453125
0.087890625,0.087890625
0.09765625,0.107421875
0.107421875,0.09765625
0.1171875,0.1416015625
0.126953125,0.1904296875
0.13671875,0.17578125
0.146484375,0.2099609375
0.15625,0.2392578125
0.166015625,0.2880859375
0.17578125,0.3076171875
0.185546875,0.2783203125
0.1953125,0.361328125
0.205078125,0.341796875
0.21484375,0.400390625
0.224609375,0.380859375
0.234375,0.380859375
0.244140625,0.4736328125
0.25390625,0.4638671875
0.263671875,0.537109375
0.2734375,0.537109375
0.283203125,0.5224609375
0.29296875,0.5908203125
0.302734375,0.556640625
0.3125,0.5712890625
0.322265625,0.6103515625
0.33203125,0.5908203125
0.341796875,0.60546875
0.3515625,0.6494140625
0.361328125,0.6494140625
0.37109375,0.68359375
0.380859375,0.6591796875
0.390625,0.6787109375
0.400390625,0.673828125
0.41015625,0.68359375
0.419921875,0.72265625
0.4296875,0.771484375
0.439453125,0.78125
0.44921875,0.791015625
0.458984375,0.7666015625
0.46875,0.7763671875
0.478515625,0.791015625
0.48828125,0.791015625
0.498046875,0.80078125
0.5078125,0.7958984375
0.517578125,0.830078125
0.52734375,0.859375
0.537109375,0.859375
0.546875,0.8544921875
0.556640625,0.908203125
0.56640625,0.869140625
0.576171875,0.9033203125
0.5859375,0.927734375
0.595703125,0.8837890625
0.60546875,0.947265625
0.615234375,0.986328125
0.625,1.025390625
0.634765625,0.9912109375
0.64453125,1.0107421875
0.654296875,1.0205078125
0.6640625,1.07421875
0.673828125,1.0107421875
0.68359375,1.0498046875
0.693359375,1.0400390625
0.703125,1.044921875
0.712890625,1.0595703125
0.72265625,1.103515625
0.732421875,1.11328125
0.751953125,1.0791015625
0.76171875,1.11328125
0.791015625,1.11328125
0.80078125,1.1474609375
0.830078125,1.162109375
0.83984375,1.1181640625
0.869140625,1.162109375
0.87890625,1.1474609375
0.908203125,1.2255859375
0.91796875,1.2109375
0.947265625,1.2646484375
0.95703125,1.240234375
0.986328125,1.2548828125
0.99609375,1.26953125
1.025390625,1.318359375
1.03515625,1.2939453125
1.064453125,1.2841796875
1.07421875,1.3525390625
1.103515625,1.34765625
1.11328125,1.3671875
1.142578125,1.3134765625
1.15234375,1.357421875
1.181640625,1.357421875
1.19140625,1.4208984375
1.220703125,1.4306640625
1.23046875,1.4404296875
1.259765625,1.46484375
1.26953125,1.484375
1.298828125,1.513671875
1.30859375,1.5283203125
1.337890625,1.552734375
1.34765625,1.5673828125
1.376953125,1.5380859375
1.38671875,1.5478515625
1.416015625,1.5869140625
1.42578125,1.62109375
1.455078125,1.6259765625
1.46484375,1.6357421875
1.494140625,1.640625
1.50390625,1.6748046875
1.533203125,1.708984375
1.54296875,1.7236328125
1.572265625,1.71875
1.58203125,1.7333984375
1.611328125,1.748046875
1.62109375,1.7041015625
1.689453125,1.787109375
1.69921875,1.7529296875
1.708984375,1.7919921875
1.71875,1.845703125
1.728515625,1.77734375
1.73828125,1.8505859375
1.767578125,1.826171875
1.77734375,1.8408203125
1.806640625,1.81640625
1.81640625,1.8505859375
1.884765625,1.875
1.89453125,1.8408203125
1.904296875,1.9677734375
1.9140625,1.9384765625
1.923828125,1.9775390625
1.93359375,1.9189453125
1.962890625,1.9482421875
1.97265625,1.962890625
1.953125,1.66015625
1.943359375,1.5966796875
1.93359375,1.54296875
1.923828125,1.484375
1.9140625,1.4306640625
1.904296875,1.318359375
1.875,1.1865234375
1.865234375,1.1474609375
1.8359375,1.005859375
1.826171875,0.9716796875
1.796875,0.8203125
1.787109375,0.7958984375
1.7578125,0.6298828125
1.748046875,0.6494140625
1.71875,0.48828125
1.708984375,0.458984375
1.6796875,0.3515625
1.669921875,0.3076171875
1.640625,0.2294921875
1.630859375,0.2587890625
1.6015625,0.107421875
1.591796875,0.0048828125
