xdac,yWE
0.009765625,0
0.01953125,0
0.029296875,0
0.0390625,0
0.048828125,0
0.05859375,0.009765625
0.068359375,0
0.078125,0.0244140625
0.087890625,0.068359375
0.09765625,0.078125
0.107421875,0.13671875
0.1171875,0.15625
0.126953125,0.185546875
0.13671875,0.2197265625
0.146484375,0.224609375
0.15625,0.302734375
0.166015625,0.3076171875
0.17578125,0.3076171875
0.185546875,0.3564453125
0.1953125,0.380859375
0.205078125,0.419921875
0.21484375,0.4541015625
0.224609375,0.458984375
0.234375,0.517578125
0.244140625,0.5615234375
0.25390625,0.625
0.263671875,0.6396484375
0.2734375,0.6787109375
0.283203125,0.7275390625
0.29296875,0.7177734375
0.302734375,0.8056640625
0.3125,0.80078125
0.322265625,0.908203125
0.33203125,0.8984375
0.341796875,0.95703125
0.3515625,1.0009765625
0.361328125,1.0498046875
0.37109375,1.09375
0.380859375,1.1474609375
0.390625,1.1669921875
0.400390625,1.220703125
0.41015625,1.318359375
0.419921875,1.30859375
0.4296875,1.337890625
0.439453125,1.42578125
0.44921875,1.4306640625
0.458984375,1.4892578125
0.46875,1.552734375
0.478515625,1.552734375
0.48828125,1.5771484375
0.498046875,1.6552734375
0.5078125,1.7333984375
0.517578125,1.7333984375
0.52734375,1.7626953125
0.537109375,1.8603515625
0.546875,1.8603515625
0.556640625,1.9189453125
0.5859375,2.05078125
0.595703125,2.0654296875
0.60546875,2.1337890625
0.615234375,2.197265625
0.625,2.2314453125
0.634765625,2.2412109375
0.64453125,2.3193359375
0.654296875,2.3291015625
0.6640625,2.34375
0.673828125,2.4755859375
0.68359375,2.4072265625
0.693359375,2.5048828125
0.703125,2.5244140625
0.712890625,2.59765625
0.751953125,2.6708984375
0.76171875,2.8271484375
0.771484375,2.880859375
0.78125,2.8515625
0.791015625,2.91015625
0.80078125,2.9638671875
0.810546875,2.9931640625
0.8203125,3.0126953125
0.830078125,3.0859375
0.83984375,3.125
0.849609375,3.18359375
0.869140625,3.2373046875
0.87890625,3.3056640625
0.908203125,3.4521484375
0.91796875,3.4814453125
0.947265625,3.5693359375
0.95703125,3.642578125
0.986328125,3.75
0.99609375,3.80859375
1.025390625,3.8818359375
1.03515625,3.9501953125
1.064453125,4.0771484375
1.07421875,4.130859375
1.103515625,4.2626953125
