xdac,yWE
0.01953125,0
0.01953125,0
0.01953125,0
0.01953125,0
0.01953125,0
0.01953125,0
0.01953125,0
0.01953125,0
0.01953125,0
0.0390625,0
0.05859375,0
0.01953125,0
0.0390625,0
0.05859375,0
0.078125,0
0.078125,0
0.078125,0
0.078125,0
0.078125,0
0.078125,0
0.078125,0
0.078125,0
0.078125,0
0.078125,0
0.09765625,0
0.1171875,0
0.1171875,0
0.1171875,0
0.1171875,0
0.1171875,0
0.1171875,0
0.1171875,0
0.1171875,0
0.1171875,0
0.1171875,0
0.15625,0
0.15625,0
0.15625,0
0.15625,0
0.15625,0
0.15625,0
0.15625,0
0.15625,0
0.15625,0
0.15625,0
0.17578125,0
0.1953125,0
0.21484375,0
0.21484375,0
0.234375,0
0.1953125,0
0.21484375,0
0.234375,0
0.1953125,0
0.21484375,0
0.234375,0
0.1953125,0
0.21484375,0
0.21484375,0
0.21484375,0
0.234375,0
0.1953125,0
0.21484375,0
0.21484375,0.029296875
0.21484375,0.029296875
0.234375,0.029296875
0.25390625,0.029296875
0.2734375,0.029296875
0.2734375,0.029296875
0.2734375,0.029296875
0.2734375,0.029296875
0.2734375,0.029296875
0.2734375,0.029296875
0.2734375,0.0390625
0.2734375,0.0244140625
0.2734375,0.0146484375
0.2734375,0.0146484375
0.29296875,0.0146484375
0.3125,0.0146484375
0.33203125,0.0146484375
0.33203125,0.0146484375
0.33203125,0.0146484375
0.33203125,0.0146484375
0.33203125,0.0146484375
0.33203125,0.0146484375
0.33203125,0.01953125
0.33203125,0.0830078125
0.33203125,0.0390625
0.33203125,0.01953125
0.3515625,0.0830078125
0.37109375,0.0390625
0.390625,0.01953125
0.009765625,0.0830078125
0.37109375,0.0390625
0.390625,0.0390625
0.009765625,0.01953125
0.37109375,0.0830078125
0.390625,0.0390625
0.390625,0.01953125
0.009765625,0.0830078125
0.37109375,0.0390625
0.390625,0.01953125
0.009765625,0.0830078125
0.37109375,0.0390625
0.390625,0.0390625
0.009765625,0.0390625
0.37109375,0.01953125
0.390625,0.0830078125
0.390625,0.0390625
0.390625,0.068359375
0.009765625,0.1318359375
0.37109375,0.0830078125
0.390625,0.1220703125
0.41015625,0.1220703125
0.4296875,0.13671875
0.44921875,0.1220703125
0.46875,0.13671875
0.46875,0.1220703125
0.48828125,0.13671875
0.46875,0.1220703125
0.48828125,0.13671875
0.46875,0.1220703125
0.48828125,0.13671875
0.46875,0.1220703125
0.48828125,0.13671875
0.46875,0.1220703125
0.48828125,0.13671875
0.46875,0.1220703125
0.48828125,0.13671875
0.46875,0.1220703125
0.48828125,0.13671875
0.46875,0.1513671875
0.48828125,0.126953125
0.46875,0.0732421875
0.48828125,0.126953125
0.5078125,0.0732421875
0.52734375,0.126953125
0.546875,0.0732421875
0.52734375,0.126953125
0.546875,0.0732421875
0.52734375,0.126953125
0.546875,0.0732421875
0.52734375,0.126953125
0.546875,0.0732421875
0.52734375,0.126953125
0.546875,0.0732421875
0.52734375,0.126953125
0.546875,0.0732421875
0.52734375,0.126953125
0.546875,0.0732421875
0.52734375,0.126953125
0.546875,0.0732421875
0.52734375,0.146484375
0.546875,0.1708984375
0.52734375,0.1513671875
0.546875,0.1708984375
0.56640625,0.1708984375
0.5859375,0.1708984375
0.60546875,0.1708984375
0.625,0.1708984375
0.625,0.1708984375
0.625,0.1708984375
0.625,0.1708984375
0.625,0.1708984375
0.625,0.1708984375
0.625,0.1025390625
0.625,0.166015625
0.625,0.166015625
0.625,0.1806640625
0.64453125,0.166015625
0.6640625,0.1806640625
0.68359375,0.166015625
0.703125,0.1806640625
0.68359375,0.1806640625
0.703125,0.1806640625
0.68359375,0.166015625
0.703125,0.1806640625
0.703125,0.1806640625
0.703125,0.166015625
0.68359375,0.1806640625
0.703125,0.1806640625
0.703125,0.1806640625
0.68359375,0.205078125
0.703125,0.21484375
0.703125,0.2734375
0.703125,0.2734375
0.72265625,0.21484375
0.7421875,0.2734375
0.76171875,0.21484375
0.76171875,0.2734375
0.7421875,0.2734375
0.76171875,0.21484375
0.7421875,0.2734375
0.76171875,0.21484375
0.76171875,0.2734375
0.7421875,0.2734375
0.76171875,0.2734375
0.7421875,0.2734375
0.76171875,0.1904296875
0.76171875,0.224609375
0.76171875,0.224609375
0.76171875,0.2294921875
0.78125,0.21484375
0.80078125,0.2294921875
0.80078125,0.21484375
0.8203125,0.1904296875
0.83984375,0.21484375
0.8203125,0.21484375
0.83984375,0.21484375
0.83984375,0.224609375
0.83984375,0.21484375
0.83984375,0.2294921875
0.859375,0.21484375
0.80078125,0.2392578125
