xdac,yWE
0.009765625,0
0.01953125,0
0.009765625,0
0.01953125,0
0.009765625,0
0.01953125,0
0.009765625,0
0.01953125,0
0.009765625,0
0.01953125,0
0.009765625,0
0.01953125,0
0.029296875,0
0.029296875,0
0.029296875,0
0.029296875,0
0.029296875,0
0.029296875,0
0.048828125,0
0.048828125,0
0.048828125,0
0.048828125,0
0.048828125,0
0.048828125,0
0.05859375,3.330078125
0.068359375,3.3642578125
0.078125,3.662109375
0.087890625,3.564453125
0.078125,3.662109375
0.087890625,3.564453125
0.078125,3.662109375
0.087890625,3.564453125
0.078125,3.662109375
0.087890625,3.564453125
0.078125,3.662109375
0.068359375,3.3642578125
0.078125,3.662109375
0.087890625,3.564453125
0.09765625,3.955078125
0.107421875,3.88671875
0.1171875,3.310546875
0.1171875,3.310546875
0.1171875,3.310546875
0.1171875,3.310546875
0.1171875,3.310546875
0.126953125,3.6474609375
0.13671875,3.251953125
0.1171875,3.310546875
0.126953125,3.6474609375
0.13671875,3.251953125
0.146484375,3.369140625
0.146484375,3.369140625
0.146484375,3.369140625
0.146484375,3.369140625
0.146484375,3.369140625
0.146484375,3.369140625
0.15625,3.349609375
0.166015625,3.3544921875
0.17578125,3.1005859375
0.185546875,3.5888671875
0.17578125,3.1005859375
0.185546875,3.5888671875
0.185546875,3.5888671875
0.17578125,3.1005859375
0.185546875,3.5888671875
0.185546875,3.5888671875
0.185546875,3.5888671875
0.1953125,3.2275390625
0.205078125,3.125
0.205078125,3.125
0.205078125,3.125
0.205078125,3.125
0.21484375,3.4375
0.224609375,3.3740234375
0.224609375,3.3740234375
0.224609375,3.3740234375
0.224609375,3.3740234375
0.224609375,3.3740234375
0.224609375,3.3740234375
0.234375,3.76953125
0.244140625,3.4375
0.25390625,3.7646484375
0.263671875,3.1591796875
0.2734375,3.76953125
0.244140625,3.4375
0.25390625,3.7646484375
0.263671875,3.1591796875
0.2734375,3.76953125
0.244140625,3.4375
0.25390625,3.7646484375
0.263671875,3.1591796875
0.2734375,3.76953125
0.244140625,3.4375
0.25390625,3.7646484375
0.263671875,3.1591796875
0.2734375,3.76953125
0.244140625,3.4375
0.25390625,3.7646484375
0.263671875,3.1591796875
0.2734375,3.76953125
0.244140625,3.4375
0.25390625,3.7646484375
